valid_time_gmt,temp,uv_index
1542293640,34,1
1542294360,33,1
1542295020,33,1
1542295740,33,1
1542297240,32,1
1542297660,32,1
1542298080,31,1
1542299460,30,1
1542299940,30,1
1542300840,30,1
1542302520,30,1
1542303720,30,1
1542304260,30,1
1542304440,30,1
1542305940,30,1
1542306300,30,1
1542307080,30,1
1542307680,30,1
1542308040,31,1
1542308340,31,1
1542308820,31,0
1542309540,31,0
1542311640,32,0
1542312180,32,0
1542314640,32,0
1542315240,32,0
1542315840,32,0
1542316740,32,0
1542317160,32,0
1542318120,33,0
1542318840,33,0
1542320820,34,0
1542321720,34,0
1542322440,34,0
1542325560,34,0
1542326040,34,0
1542328320,34,0
1542329400,34,0
1542329640,34,0
1542332100,33,0
1542333240,34,0
1542334980,35,0
1542336840,36,0
1542338220,36,0
1542338700,36,0
1542340440,37,0
1542340920,38,0
1542341880,38,0
1542343440,38,0
1542344040,38,0
1542346080,38,0
1542347640,38,0
1542351240,38,0
1542353940,38,0
1542354840,38,0
1542358140,37,0
1542358440,38,0
1542358860,38,0
1542359400,38,0
1542359760,37,0
1542360900,37,0
1542362040,35,0
1542362520,35,0
1542362820,35,0
1542363240,34,0
1542364320,35,0
1542365220,35,0
1542365640,35,0
1542367440,35,0
1542369240,36,0
1542372840,36,0
1542376440,39,1
1542380040,41,1
1542383640,42,2
1542387240,43,1
1542390840,44,1
1542394440,44,1
1542398040,44,0
1542401640,43,0
1542405240,43,0
1542408840,41,0
1542412440,40,0
1542416040,39,0
1542419640,38,0
1542423240,38,0
1542426840,37,0
1542430440,37,0
1542434040,35,0
1542437640,37,0
1542441240,38,0
1542444840,40,0
1542448440,40,0
1542452040,40,0
1542455640,40,0
1542459240,40,0
1542462840,43,1
1542466440,45,1
1542470040,46,1
1542473640,46,1
1542477240,47,1
1542480840,48,1
1542484440,47,0
1542488040,47,0
1542491640,46,0
1542495240,43,0
1542498840,43,0
1542502440,43,0
1542506040,42,0
1542509640,40,0
1542513240,38,0
1542516840,36,0
1542520440,37,0
1542524040,36,0
1542527640,34,0
1542531240,35,0
1542534840,34,0
1542538440,33,0
1542542040,34,0
1542545640,36,0
1542549240,39,0
1542552840,41,1
1542556440,44,1
1542560040,46,1
1542563640,46,1
1542567240,47,1
1542570840,48,0
1542574440,47,0
1542578040,46,0
1542581640,45,0
1542585240,41,0
1542588840,40,0
1542592440,40,0
1542596040,39,0
1542599640,40,0
1542603240,39,0
1542606840,37,0
1542609120,36,0
1542610440,38,0
1542614040,37,0
1542614880,36,0
1542616380,36,0
1542617640,36,0
1542619080,34,0
1542621240,36,0
1542623220,35,0
1542624840,34,0
1542626220,35,0
1542627900,37,0
1542628440,37,0
1542632040,39,0
1542632760,40,0
1542633480,41,0
1542633600,41,0
1542634260,41,0
1542635640,42,0
1542636180,41,0
1542639000,43,1
1542639240,42,1
1542640260,42,1
1542641160,43,1
1542642840,45,1
1542644400,45,1
1542645540,45,1
1542646260,45,1
1542646440,45,1
1542647520,45,2
1542650040,48,1
1542652500,49,1
1542653640,50,1
1542657240,50,0
1542659400,51,0
1542660840,50,0
1542664440,47,0
1542668040,46,0
1542671640,47,0
1542675240,47,0
1542678840,44,0
1542682440,44,0
1542683460,45,0
1542686040,44,0
1542689640,43,0
1542693240,43,0
1542695100,42,0
1542696840,43,0
1542700440,43,0
1542704040,44,0
1542707460,45,0
1542707640,45,0
1542708060,45,0
1542711240,46,0
1542711960,46,0
1542713340,45,0
1542714840,45,0
1542715380,45,0
1542715980,45,0
1542716760,45,0
1542718020,45,0
1542718440,45,0
1542721800,45,0
1542722040,45,0
1542723540,45,0
1542725640,46,1
1542727020,46,1
1542727980,46,1
1542728940,46,1
1542729240,46,1
1542732840,47,1
1542734520,50,1
1542736440,49,1
1542740040,48,1
1542743640,48,0
1542747240,47,0
1542750840,46,0
1542754440,45,0
1542758040,44,0
1542761640,44,0
1542765240,42,0
1542768840,41,0
1542772440,40,0
1542776040,39,0
1542779640,37,0
1542783240,35,0
1542786840,34,0
1542790440,34,0
1542794040,33,0
1542797640,34,0
1542801240,32,0
1542804840,35,0
1542808440,38,1
1542812040,41,1
1542815640,43,1
1542819240,45,2
1542822840,47,1
1542826440,47,1
1542830040,47,0
1542833640,47,0
1542837240,45,0
1542840840,43,0
1542844440,42,0
1542848040,42,0
1542851640,41,0
1542855240,39,0
1542858840,35,0
1542862440,34,0
1542866040,32,0
1542869640,30,0
1542873240,28,0
1542876840,26,0
1542880440,25,0
1542884040,23,0
1542887640,23,0
1542891240,23,0
1542894840,24,1
1542898440,25,1
1542902040,26,2
1542905640,28,2
1542909240,28,2
1542912840,28,1
1542916440,28,0
1542920040,28,0
1542923640,27,0
1542927240,27,0
1542930840,26,0
1542934440,25,0
1542938040,23,0
1542941640,22,0
1542945240,21,0
1542948840,20,0
1542952440,19,0
1542956040,19,0
1542959640,18,0
1542963240,18,0
1542966840,17,0
1542970440,16,0
1542974040,16,0
